"zi","total_curse","curse_normale","curse_suspecte","verificate","detectate","nedetectate"
250,413,411,2,79,0,2
251,251,251,0,13,0,0
252,444,442,2,102,0,2
253,412,409,3,78,0,3
254,573,571,2,172,1,1
255,417,415,2,82,0,2
256,327,323,4,27,0,4
257,406,406,0,74,0,0
258,513,511,2,154,0,2
259,433,432,1,94,0,1
260,317,317,0,23,0,0
261,278,276,2,14,0,2
262,348,345,3,38,0,3
263,580,577,3,174,2,1
264,442,442,0,101,0,0
265,316,315,1,22,0,1
266,352,351,1,40,0,1
267,410,410,0,77,0,0
268,413,410,3,79,1,2
269,669,664,5,201,3,2
270,428,425,3,90,0,3
271,505,501,4,152,0,4
272,422,419,3,85,0,3
273,375,374,1,54,0,1
274,385,385,0,60,0,0
275,503,500,3,151,1,2
276,472,471,1,125,0,1
277,266,265,1,13,0,1
278,260,260,0,13,0,0
279,386,383,3,61,0,3
280,290,289,1,14,0,1
281,284,283,1,14,0,1
282,375,372,3,54,1,2
283,453,452,1,109,0,1
284,589,586,3,177,2,1
285,251,248,3,13,0,3
286,448,445,3,105,2,1
287,329,328,1,28,0,1
288,423,422,1,86,0,1
289,357,354,3,43,0,3
290,346,345,1,37,0,1
291,379,377,2,56,0,2
292,425,421,4,88,1,3
293,407,403,4,75,0,4
294,383,381,2,59,0,2
295,392,388,4,65,1,3
296,415,411,4,80,0,4
297,304,302,2,17,0,2
298,377,376,1,55,0,1
299,422,421,1,85,0,1
300,238,237,1,12,0,1
301,427,423,4,89,1,3
302,396,394,2,67,1,1
303,531,529,2,159,1,1
304,417,415,2,82,0,2
305,264,263,1,13,0,1
306,509,507,2,153,2,0
307,362,357,5,46,0,5
308,503,500,3,151,1,2
309,274,274,0,14,0,0
310,387,386,1,61,0,1
311,345,343,2,37,0,2
312,476,472,4,129,0,4
313,367,363,4,49,0,4
314,430,425,5,91,0,5
315,539,535,4,162,1,3
316,236,236,0,12,0,0
317,457,455,2,113,1,1
318,355,353,2,42,0,2
319,521,518,3,156,2,1
320,347,344,3,38,0,3
321,449,447,2,106,0,2
322,531,529,2,159,1,1
323,426,424,2,88,1,1
324,487,484,3,138,0,3
325,474,473,1,127,0,1
326,333,333,0,30,0,0
327,371,371,0,51,0,0
328,517,516,1,155,0,1
329,426,425,1,88,1,0
330,326,324,2,27,0,2
331,405,403,2,73,1,1
332,396,394,2,67,0,2
333,443,442,1,101,1,0
334,328,323,5,28,0,5
335,323,322,1,25,0,1
336,400,397,3,70,0,3
337,317,316,1,23,0,1
338,378,376,2,56,0,2
339,434,432,2,94,0,2
340,578,577,1,173,1,0
341,323,322,1,25,0,1
342,278,277,1,14,0,1
343,254,253,1,13,0,1
344,397,391,6,68,2,4
345,332,332,0,30,0,0
346,431,428,3,92,1,2
347,607,603,4,182,0,4
348,411,410,1,78,1,0
349,308,305,3,18,0,3
350,329,329,0,28,0,0
351,368,366,2,50,0,2
352,318,314,4,23,0,4
353,416,413,3,81,0,3
354,433,431,2,94,1,1
